cust_id,age,gender,city,loyalty_segment,registration_date
1,40,Male,Sharjah,Platinum,2025-01-01
2,20,Male,Dubai,Silver,2025-01-01
3,40,Female,Sharjah,Gold,2025-01-01
4,60,Female,Abu Dhabi,Silver,2025-01-01
5,50,Male,Sharjah,Silver,2025-01-01
6,60,Male,Abu Dhabi,Gold,2025-01-01
7,50,Female,Dubai,Silver,2025-01-01
8,20,Male,Sharjah,Silver,2025-01-01
9,20,Male,Dubai,Gold,2025-01-01
10,20,Female,Sharjah,Silver,2025-01-01
11,30,Female,Abu Dhabi,Silver,2025-01-01
12,30,Male,Dubai,Silver,2025-01-01
13,50,Female,Abu Dhabi,Silver,2025-01-01
14,40,Female,Sharjah,Silver,2025-01-01
15,40,Male,Abu Dhabi,Gold,2025-01-01
16,50,Female,Sharjah,Silver,2025-01-01
17,30,Female,Dubai,Silver,2025-01-01
18,60,Male,Abu Dhabi,Silver,2025-01-01
19,50,Female,Abu Dhabi,Silver,2025-01-01
20,40,Female,Sharjah,Silver,2025-01-01
21,50,Male,Sharjah,Gold,2025-01-01
22,50,Female,Sharjah,Silver,2025-01-01
23,20,Male,Dubai,Platinum,2025-01-01
24,30,Male,Abu Dhabi,Silver,2025-01-01
25,20,Female,Sharjah,Silver,2025-01-01
26,30,Male,Sharjah,Silver,2025-01-01
27,50,Male,Abu Dhabi,Silver,2025-01-01
28,30,Female,Dubai,Gold,2025-01-01
29,40,Male,Abu Dhabi,Gold,2025-01-01
30,20,Male,Sharjah,Silver,2025-01-01
31,50,Female,Abu Dhabi,Gold,2025-01-01
32,40,Male,Sharjah,Gold,2025-01-01
33,30,Male,Sharjah,Platinum,2025-01-01
34,30,Female,Abu Dhabi,Silver,2025-01-01
35,40,Female,Abu Dhabi,Silver,2025-01-01
36,30,Male,Dubai,Silver,2025-01-01
37,20,Male,Sharjah,Silver,2025-01-01
38,60,Male,Sharjah,Gold,2025-01-01
39,30,Female,Sharjah,Platinum,2025-01-01
40,50,Male,Sharjah,Silver,2025-01-01
41,30,Female,Sharjah,Gold,2025-01-01
42,50,Male,Abu Dhabi,Platinum,2025-01-01
43,30,Male,Sharjah,Platinum,2025-01-01
44,30,Female,Abu Dhabi,Gold,2025-01-01
45,50,Male,Dubai,Gold,2025-01-01
46,20,Female,Sharjah,Silver,2025-01-01
47,60,Female,Dubai,Platinum,2025-01-01
48,60,Male,Abu Dhabi,Silver,2025-01-01
49,20,Male,Abu Dhabi,Silver,2025-01-01
50,30,Female,Dubai,Silver,2025-01-01
51,60,Female,Sharjah,Gold,2025-01-01
52,20,Female,Abu Dhabi,Silver,2025-01-01
53,20,Male,Abu Dhabi,Gold,2025-01-01
54,60,Male,Abu Dhabi,Silver,2025-01-01
55,50,Male,Abu Dhabi,Silver,2025-01-01
56,40,Male,Abu Dhabi,Silver,2025-01-01
57,50,Female,Abu Dhabi,Silver,2025-01-01
58,30,Female,Dubai,Silver,2025-01-01
59,50,Female,Sharjah,Silver,2025-01-01
60,40,Male,Sharjah,Silver,2025-01-01
61,40,Male,Sharjah,Gold,2025-01-01
62,20,Male,Sharjah,Silver,2025-01-01
63,30,Female,Dubai,Gold,2025-01-01
64,20,Female,Dubai,Silver,2025-01-01
65,50,Female,Sharjah,Silver,2025-01-01
66,50,Female,Abu Dhabi,Gold,2025-01-01
67,60,Male,Sharjah,Gold,2025-01-01
68,20,Male,Abu Dhabi,Silver,2025-01-01
69,20,Male,Abu Dhabi,Silver,2025-01-01
70,20,Female,Dubai,Platinum,2025-01-01
71,20,Female,Abu Dhabi,Silver,2025-01-01
72,40,Female,Dubai,Silver,2025-01-01
73,60,Female,Sharjah,Silver,2025-01-01
74,30,Male,Dubai,Gold,2025-01-01
75,30,Male,Abu Dhabi,Gold,2025-01-01
76,30,Female,Abu Dhabi,Silver,2025-01-01
77,40,Male,Abu Dhabi,Silver,2025-01-01
78,60,Female,Sharjah,Silver,2025-01-01
79,60,Female,Dubai,Silver,2025-01-01
80,40,Female,Sharjah,Silver,2025-01-01
81,20,Female,Dubai,Silver,2025-01-01
82,50,Female,Sharjah,Silver,2025-01-01
83,20,Male,Sharjah,Gold,2025-01-01
84,30,Male,Abu Dhabi,Gold,2025-01-01
