store_id,sku_id,stock_on_hand,reorder_point,snapshot_date
9,5523,33,20,2025-12-31
9,1863,92,20,2025-12-31
9,4224,48,20,2025-12-31
9,2579,141,20,2025-12-31
9,2295,59,20,2025-12-31
9,1991,154,20,2025-12-31
9,2525,70,20,2025-12-31
9,1896,37,20,2025-12-31
9,3903,47,20,2025-12-31
9,5235,51,20,2025-12-31
9,4081,42,20,2025-12-31
9,1759,195,20,2025-12-31
9,1785,130,20,2025-12-31
9,5791,162,20,2025-12-31
9,2580,160,20,2025-12-31
9,1093,106,20,2025-12-31
9,3511,51,20,2025-12-31
9,5570,145,20,2025-12-31
9,5882,117,20,2025-12-31
9,4467,151,20,2025-12-31
9,2839,197,20,2025-12-31
9,1761,11,20,2025-12-31
9,3351,96,20,2025-12-31
9,3187,83,20,2025-12-31
9,3461,21,20,2025-12-31
9,4218,47,20,2025-12-31
9,5814,194,20,2025-12-31
9,1633,127,20,2025-12-31
9,4201,73,20,2025-12-31
9,1684,152,20,2025-12-31
9,1012,149,20,2025-12-31
9,3731,119,20,2025-12-31
9,5884,38,20,2025-12-31
9,3114,138,20,2025-12-31
9,2881,158,20,2025-12-31
9,3970,67,20,2025-12-31
9,2405,188,20,2025-12-31
9,1463,166,20,2025-12-31
9,3650,62,20,2025-12-31
9,2511,38,20,2025-12-31
9,4623,85,20,2025-12-31
9,3060,66,20,2025-12-31
9,4743,44,20,2025-12-31
9,3467,141,20,2025-12-31
9,4672,16,20,2025-12-31
9,3676,175,20,2025-12-31
9,2122,111,20,2025-12-31
9,5154,188,20,2025-12-31
9,3840,18,20,2025-12-31
9,1803,109,20,2025-12-31
9,2778,157,20,2025-12-31
9,2449,168,20,2025-12-31
9,4305,170,20,2025-12-31
9,5121,73,20,2025-12-31
9,5756,170,20,2025-12-31
9,4800,103,20,2025-12-31
9,1407,191,20,2025-12-31
9,1236,130,20,2025-12-31
9,5026,164,20,2025-12-31
9,1160,188,20,2025-12-31
9,5917,165,20,2025-12-31
9,1277,88,20,2025-12-31
9,4143,35,20,2025-12-31
9,5195,121,20,2025-12-31
9,3715,38,20,2025-12-31
9,3719,167,20,2025-12-31
9,1857,157,20,2025-12-31
9,4639,84,20,2025-12-31
9,3006,50,20,2025-12-31
9,4851,173,20,2025-12-31
9,2800,148,20,2025-12-31
9,5700,62,20,2025-12-31
9,5162,198,20,2025-12-31
9,5291,169,20,2025-12-31
9,4136,50,20,2025-12-31
9,5918,176,20,2025-12-31
9,2411,98,20,2025-12-31
9,2720,196,20,2025-12-31
9,2236,143,20,2025-12-31
9,4777,140,20,2025-12-31
9,1050,150,20,2025-12-31
9,1002,199,20,2025-12-31
9,1566,58,20,2025-12-31
9,3256,179,20,2025-12-31
9,1505,119,20,2025-12-31
9,3396,111,20,2025-12-31
9,2121,23,20,2025-12-31
9,5450,156,20,2025-12-31
9,5119,127,20,2025-12-31
9,3910,167,20,2025-12-31
9,4090,100,20,2025-12-31
9,1422,52,20,2025-12-31
9,2018,147,20,2025-12-31
9,3154,17,20,2025-12-31
9,4054,187,20,2025-12-31
9,3624,88,20,2025-12-31
9,3510,172,20,2025-12-31
9,3102,153,20,2025-12-31
9,4406,139,20,2025-12-31
9,3052,192,20,2025-12-31
9,3376,58,20,2025-12-31
9,1413,135,20,2025-12-31
9,5715,155,20,2025-12-31
9,3337,125,20,2025-12-31
9,4394,140,20,2025-12-31
9,1308,182,20,2025-12-31
9,2673,146,20,2025-12-31
9,1393,18,20,2025-12-31
9,1529,140,20,2025-12-31
9,5734,106,20,2025-12-31
9,2765,132,20,2025-12-31
9,3157,54,20,2025-12-31
9,5585,42,20,2025-12-31
9,3281,85,20,2025-12-31
9,3877,40,20,2025-12-31
9,2888,133,20,2025-12-31
9,4957,99,20,2025-12-31
9,1305,117,20,2025-12-31
9,1558,152,20,2025-12-31
9,1044,96,20,2025-12-31
9,2950,99,20,2025-12-31
9,1383,25,20,2025-12-31
9,1354,63,20,2025-12-31
9,5902,57,20,2025-12-31
9,4751,178,20,2025-12-31
9,4521,103,20,2025-12-31
9,1789,154,20,2025-12-31
9,5525,42,20,2025-12-31
9,2762,42,20,2025-12-31
9,5969,133,20,2025-12-31
9,4229,156,20,2025-12-31
9,5215,130,20,2025-12-31
9,2240,91,20,2025-12-31
9,3470,42,20,2025-12-31
9,1001,84,20,2025-12-31
9,2002,28,20,2025-12-31
9,4761,152,20,2025-12-31
9,2061,10,20,2025-12-31
9,1414,92,20,2025-12-31
9,1138,70,20,2025-12-31
9,2123,10,20,2025-12-31
9,3698,92,20,2025-12-31
9,2556,116,20,2025-12-31
9,1059,39,20,2025-12-31
9,5226,166,20,2025-12-31
9,2505,143,20,2025-12-31
9,2439,104,20,2025-12-31
9,4611,151,20,2025-12-31
9,4997,190,20,2025-12-31
9,1814,14,20,2025-12-31
9,2430,44,20,2025-12-31
9,4014,24,20,2025-12-31
9,1075,189,20,2025-12-31
9,4825,31,20,2025-12-31
9,5620,189,20,2025-12-31
9,5614,109,20,2025-12-31
9,3364,68,20,2025-12-31
9,3016,146,20,2025-12-31
9,2013,117,20,2025-12-31
9,3486,62,20,2025-12-31
9,1353,125,20,2025-12-31
9,3983,36,20,2025-12-31
9,2495,51,20,2025-12-31
9,5695,49,20,2025-12-31
9,4916,64,20,2025-12-31
9,3874,150,20,2025-12-31
9,4255,14,20,2025-12-31
9,4590,45,20,2025-12-31
9,5205,52,20,2025-12-31
9,5065,70,20,2025-12-31
9,1468,125,20,2025-12-31
9,3773,150,20,2025-12-31
9,1435,100,20,2025-12-31
9,5912,172,20,2025-12-31
9,2008,109,20,2025-12-31
9,5415,191,20,2025-12-31
9,3200,154,20,2025-12-31
9,4564,162,20,2025-12-31
9,4133,95,20,2025-12-31
9,2756,86,20,2025-12-31
9,1212,196,20,2025-12-31
9,1200,56,20,2025-12-31
9,2855,72,20,2025-12-31
9,4227,135,20,2025-12-31
9,1333,55,20,2025-12-31
9,5906,100,20,2025-12-31
9,4113,67,20,2025-12-31
9,2555,11,20,2025-12-31
9,3992,145,20,2025-12-31
9,4509,43,20,2025-12-31
9,1320,49,20,2025-12-31
9,4369,105,20,2025-12-31
9,4035,102,20,2025-12-31
9,5429,79,20,2025-12-31
9,4256,95,20,2025-12-31
9,5206,26,20,2025-12-31
9,1167,162,20,2025-12-31
9,3756,116,20,2025-12-31
9,1343,71,20,2025-12-31
9,4011,69,20,2025-12-31
9,1784,71,20,2025-12-31
9,1909,116,20,2025-12-31
9,5761,117,20,2025-12-31
9,3489,152,20,2025-12-31
9,1961,108,20,2025-12-31
9,1640,156,20,2025-12-31
9,5420,189,20,2025-12-31
9,1299,64,20,2025-12-31
9,3379,47,20,2025-12-31
9,3156,65,20,2025-12-31
9,2711,195,20,2025-12-31
9,2261,129,20,2025-12-31
9,3347,146,20,2025-12-31
9,5334,85,20,2025-12-31
9,2251,19,20,2025-12-31
9,4225,194,20,2025-12-31
9,5428,36,20,2025-12-31
9,3322,122,20,2025-12-31
9,1801,143,20,2025-12-31
9,4814,101,20,2025-12-31
9,2789,104,20,2025-12-31
9,3555,88,20,2025-12-31
9,5416,121,20,2025-12-31
9,1901,192,20,2025-12-31
9,2682,19,20,2025-12-31
9,1006,137,20,2025-12-31
9,4927,130,20,2025-12-31
9,2793,140,20,2025-12-31
9,1199,32,20,2025-12-31
9,1582,154,20,2025-12-31
9,4497,15,20,2025-12-31
9,1775,164,20,2025-12-31
9,4820,109,20,2025-12-31
9,5974,174,20,2025-12-31
9,2480,196,20,2025-12-31
9,4153,145,20,2025-12-31
9,4846,124,20,2025-12-31
9,2373,144,20,2025-12-31
9,2933,62,20,2025-12-31
9,5396,98,20,2025-12-31
9,5784,137,20,2025-12-31
9,2982,77,20,2025-12-31
9,1169,98,20,2025-12-31
9,3604,28,20,2025-12-31
9,2356,92,20,2025-12-31
9,1267,110,20,2025-12-31
9,3812,51,20,2025-12-31
9,2056,190,20,2025-12-31
9,1628,23,20,2025-12-31
9,4971,177,20,2025-12-31
9,4752,158,20,2025-12-31
9,5904,24,20,2025-12-31
9,1831,182,20,2025-12-31
9,1630,68,20,2025-12-31
9,2281,83,20,2025-12-31
9,2748,66,20,2025-12-31
9,4434,94,20,2025-12-31
9,5722,197,20,2025-12-31
9,4892,36,20,2025-12-31
9,2975,12,20,2025-12-31
9,4310,84,20,2025-12-31
9,4544,135,20,2025-12-31
9,1680,196,20,2025-12-31
9,4282,124,20,2025-12-31
9,2221,113,20,2025-12-31
9,4451,198,20,2025-12-31
9,2099,152,20,2025-12-31
9,5497,11,20,2025-12-31
9,3833,22,20,2025-12-31
9,4912,148,20,2025-12-31
9,5667,158,20,2025-12-31
9,4134,79,20,2025-12-31
9,3895,135,20,2025-12-31
9,2157,180,20,2025-12-31
9,2926,54,20,2025-12-31
9,1202,34,20,2025-12-31
9,4981,113,20,2025-12-31
9,5151,58,20,2025-12-31
9,4514,138,20,2025-12-31
9,2811,107,20,2025-12-31
9,2936,104,20,2025-12-31
9,2908,193,20,2025-12-31
9,5559,85,20,2025-12-31
9,3750,152,20,2025-12-31
9,1688,32,20,2025-12-31
9,2341,183,20,2025-12-31
9,3477,71,20,2025-12-31
9,3831,119,20,2025-12-31
9,5050,42,20,2025-12-31
9,3107,51,20,2025-12-31
9,5360,138,20,2025-12-31
9,5421,92,20,2025-12-31
9,1678,81,20,2025-12-31
9,5059,48,20,2025-12-31
9,2484,143,20,2025-12-31
9,4616,50,20,2025-12-31
9,2834,53,20,2025-12-31
9,2705,63,20,2025-12-31
9,1355,158,20,2025-12-31
9,3417,65,20,2025-12-31
9,5109,102,20,2025-12-31
9,5203,187,20,2025-12-31
9,4762,153,20,2025-12-31
9,5184,179,20,2025-12-31
9,1014,36,20,2025-12-31
9,4982,40,20,2025-12-31
9,3213,87,20,2025-12-31
9,5099,26,20,2025-12-31
9,1254,52,20,2025-12-31
9,3414,193,20,2025-12-31
9,2039,56,20,2025-12-31
9,4325,97,20,2025-12-31
9,4641,21,20,2025-12-31
9,4474,54,20,2025-12-31
9,1998,110,20,2025-12-31
9,3257,84,20,2025-12-31
9,1925,146,20,2025-12-31
9,3406,168,20,2025-12-31
9,5768,198,20,2025-12-31
9,2988,164,20,2025-12-31
9,5455,189,20,2025-12-31
9,2523,56,20,2025-12-31
9,4057,145,20,2025-12-31
9,3028,199,20,2025-12-31
9,2217,140,20,2025-12-31
9,5619,34,20,2025-12-31
9,4388,117,20,2025-12-31
9,4931,165,20,2025-12-31
9,3860,158,20,2025-12-31
9,5571,109,20,2025-12-31
9,4841,14,20,2025-12-31
9,4920,126,20,2025-12-31
9,4295,29,20,2025-12-31
9,1798,197,20,2025-12-31
9,3410,53,20,2025-12-31
9,5510,48,20,2025-12-31
9,5259,63,20,2025-12-31
9,1408,127,20,2025-12-31
9,3666,103,20,2025-12-31
9,4866,15,20,2025-12-31
9,5467,141,20,2025-12-31
9,2621,18,20,2025-12-31
9,5173,145,20,2025-12-31
9,3454,168,20,2025-12-31
9,3907,75,20,2025-12-31
9,4741,50,20,2025-12-31
9,3098,53,20,2025-12-31
9,4648,61,20,2025-12-31
9,3174,49,20,2025-12-31
9,2166,95,20,2025-12-31
9,4288,112,20,2025-12-31
9,4248,169,20,2025-12-31
9,1731,183,20,2025-12-31
9,5984,57,20,2025-12-31
9,2615,55,20,2025-12-31
9,3034,79,20,2025-12-31
9,2190,20,20,2025-12-31
9,4167,189,20,2025-12-31
9,2350,132,20,2025-12-31
9,5742,124,20,2025-12-31
9,5067,168,20,2025-12-31
9,1425,135,20,2025-12-31
9,1546,123,20,2025-12-31
9,4223,159,20,2025-12-31
9,2329,101,20,2025-12-31
9,1460,176,20,2025-12-31
9,5500,24,20,2025-12-31
9,2275,92,20,2025-12-31
9,3349,54,20,2025-12-31
9,3143,37,20,2025-12-31
9,1026,138,20,2025-12-31
9,1931,163,20,2025-12-31
9,3572,53,20,2025-12-31
9,4000,86,20,2025-12-31
9,2907,186,20,2025-12-31
9,3514,76,20,2025-12-31
9,4469,135,20,2025-12-31
9,4401,14,20,2025-12-31
9,5350,146,20,2025-12-31
9,3271,150,20,2025-12-31
9,1229,133,20,2025-12-31
9,2380,64,20,2025-12-31
