sku_id,sku_name,category,subcategory,unit_price,cost_price,brand
1001,Electronics_Chargers_1001,Electronics,Chargers,164.56,103.44,Budget
1002,Dairy_Cream_1002,Dairy,Cream,13.73,8.96,Local
1003,Household_Cleaning Supplies_1003,Household,Cleaning Supplies,12.0,7.47,BlueMart
1004,Beverages_Juices_1004,Beverages,Juices,24.82,17.58,International
1005,Household_Paper Products_1005,Household,Paper Products,17.7,13.68,Budget
1006,Beverages_Coffee_1006,Beverages,Coffee,12.62,9.8,Premium
1007,Personal Care_Shampoo_1007,Personal Care,Shampoo,67.26,51.47,BlueMart
1008,Personal Care_Shampoo_1008,Personal Care,Shampoo,43.94,31.77,Premium
1009,Electronics_Batteries_1009,Electronics,Batteries,90.95,61.82,Local
1010,Grocery_Rice_1010,Grocery,Rice,16.43,10.05,Budget
1011,Personal Care_Shampoo_1011,Personal Care,Shampoo,20.37,16.28,Premium
1012,Beverages_Juices_1012,Beverages,Juices,14.1,7.87,Premium
1013,Grocery_Cereals_1013,Grocery,Cereals,35.63,24.33,Premium
1014,Dairy_Butter_1014,Dairy,Butter,7.83,5.03,Premium
1015,Dairy_Cream_1015,Dairy,Cream,27.13,19.22,Budget
1016,Grocery_Rice_1016,Grocery,Rice,19.44,11.6,BlueMart
1017,Household_Paper Products_1017,Household,Paper Products,43.23,23.96,Budget
1018,Personal Care_Deodorant_1018,Personal Care,Deodorant,55.16,32.74,Budget
1019,Electronics_Cables_1019,Electronics,Cables,211.86,152.31,Local
1020,Beverages_Juices_1020,Beverages,Juices,9.96,7.12,Local
1021,Grocery_Canned Goods_1021,Grocery,Canned Goods,28.83,17.6,BlueMart
1022,Household_Cleaning Supplies_1022,Household,Cleaning Supplies,54.82,38.83,Premium
1023,Personal Care_Toothpaste_1023,Personal Care,Toothpaste,60.82,47.09,International
1024,Grocery_Canned Goods_1024,Grocery,Canned Goods,8.79,5.19,International
1025,Household_Detergent_1025,Household,Detergent,8.48,4.88,Budget
1026,Snacks_Biscuits_1026,Snacks,Biscuits,5.7,3.92,Budget
1027,Snacks_Chips_1027,Snacks,Chips,6.05,3.35,Premium
1028,Household_Paper Products_1028,Household,Paper Products,41.78,31.85,Budget
1029,Grocery_Canned Goods_1029,Grocery,Canned Goods,27.9,19.78,Premium
1030,Dairy_Cream_1030,Dairy,Cream,22.04,17.11,Premium
1031,Snacks_Chips_1031,Snacks,Chips,15.27,10.28,BlueMart
1032,Snacks_Chocolates_1032,Snacks,Chocolates,15.16,11.25,BlueMart
1033,Household_Paper Products_1033,Household,Paper Products,32.44,20.11,International
1034,Household_Cleaning Supplies_1034,Household,Cleaning Supplies,57.56,36.42,Budget
1035,Electronics_Batteries_1035,Electronics,Batteries,245.38,139.58,Premium
1036,Electronics_Mobile Accessories_1036,Electronics,Mobile Accessories,89.48,53.01,Budget
1037,Electronics_Cables_1037,Electronics,Cables,178.57,123.66,BlueMart
1038,Electronics_Cables_1038,Electronics,Cables,99.28,60.91,Premium
1039,Beverages_Soft Drinks_1039,Beverages,Soft Drinks,25.91,15.14,Local
1040,Electronics_Mobile Accessories_1040,Electronics,Mobile Accessories,84.68,55.46,Premium
1041,Snacks_Nuts_1041,Snacks,Nuts,13.76,9.29,Local
1042,Grocery_Canned Goods_1042,Grocery,Canned Goods,44.9,25.0,Budget
1043,Electronics_Batteries_1043,Electronics,Batteries,23.45,15.63,Budget
1044,Snacks_Biscuits_1044,Snacks,Biscuits,21.79,13.35,BlueMart
1045,Electronics_Cables_1045,Electronics,Cables,141.21,89.2,Local
1046,Household_Paper Products_1046,Household,Paper Products,58.19,38.66,Local
1047,Household_Detergent_1047,Household,Detergent,36.11,25.61,Local
1048,Snacks_Biscuits_1048,Snacks,Biscuits,13.87,8.75,Local
1049,Electronics_Batteries_1049,Electronics,Batteries,118.16,67.31,BlueMart
1050,Snacks_Chips_1050,Snacks,Chips,17.84,10.07,International
1051,Electronics_Cables_1051,Electronics,Cables,71.35,40.92,BlueMart
1052,Snacks_Crackers_1052,Snacks,Crackers,16.68,11.33,Budget
1053,Snacks_Crackers_1053,Snacks,Crackers,11.65,7.13,Premium
1054,Snacks_Chips_1054,Snacks,Chips,9.86,5.65,BlueMart
1055,Dairy_Butter_1055,Dairy,Butter,11.14,6.17,Local
1056,Snacks_Nuts_1056,Snacks,Nuts,5.98,3.94,Premium
1057,Beverages_Tea_1057,Beverages,Tea,26.94,16.57,BlueMart
1058,Personal Care_Soap_1058,Personal Care,Soap,45.07,30.87,Budget
1059,Electronics_Cables_1059,Electronics,Cables,21.23,14.79,International
1060,Household_Detergent_1060,Household,Detergent,37.82,22.02,Local
1061,Personal Care_Skincare_1061,Personal Care,Skincare,53.82,40.64,Budget
1062,Personal Care_Deodorant_1062,Personal Care,Deodorant,29.18,17.61,Premium
1063,Snacks_Chocolates_1063,Snacks,Chocolates,16.22,10.29,Budget
1064,Snacks_Biscuits_1064,Snacks,Biscuits,17.68,11.23,Premium
1065,Electronics_Chargers_1065,Electronics,Chargers,177.83,113.29,International
1066,Household_Cleaning Supplies_1066,Household,Cleaning Supplies,49.78,30.89,BlueMart
1067,Grocery_Cereals_1067,Grocery,Cereals,49.57,32.38,Premium
1068,Electronics_Chargers_1068,Electronics,Chargers,95.09,74.43,International
1069,Grocery_Spices_1069,Grocery,Spices,38.3,23.35,Premium
1070,Grocery_Canned Goods_1070,Grocery,Canned Goods,42.19,26.58,International
1071,Grocery_Canned Goods_1071,Grocery,Canned Goods,5.49,4.26,BlueMart
1072,Electronics_Chargers_1072,Electronics,Chargers,238.26,187.67,Budget
1073,Electronics_Chargers_1073,Electronics,Chargers,120.38,75.03,Premium
