cust_id,age,gender,city,loyalty_segment,registration_date
1,50,Female,Dubai,Silver,2025-01-01
2,40,Male,Dubai,Silver,2025-01-01
3,30,Male,Sharjah,Silver,2025-01-01
4,60,Female,Abu Dhabi,Platinum,2025-01-01
5,60,Male,Dubai,Silver,2025-01-01
6,40,Male,Dubai,Gold,2025-01-01
7,40,Female,Abu Dhabi,Gold,2025-01-01
8,50,Male,Dubai,Silver,2025-01-01
9,20,Male,Sharjah,Gold,2025-01-01
10,40,Female,Sharjah,Silver,2025-01-01
11,40,Female,Abu Dhabi,Gold,2025-01-01
12,30,Male,Sharjah,Silver,2025-01-01
13,60,Female,Dubai,Silver,2025-01-01
14,20,Male,Dubai,Gold,2025-01-01
15,30,Female,Dubai,Silver,2025-01-01
16,50,Female,Dubai,Gold,2025-01-01
17,50,Female,Abu Dhabi,Platinum,2025-01-01
18,40,Female,Sharjah,Silver,2025-01-01
19,40,Male,Sharjah,Silver,2025-01-01
20,50,Female,Dubai,Silver,2025-01-01
21,40,Female,Abu Dhabi,Gold,2025-01-01
22,20,Female,Dubai,Gold,2025-01-01
23,40,Male,Dubai,Silver,2025-01-01
24,60,Male,Abu Dhabi,Silver,2025-01-01
25,40,Female,Abu Dhabi,Gold,2025-01-01
26,30,Female,Dubai,Silver,2025-01-01
27,20,Female,Sharjah,Gold,2025-01-01
28,30,Female,Dubai,Gold,2025-01-01
29,30,Female,Sharjah,Platinum,2025-01-01
30,60,Female,Sharjah,Silver,2025-01-01
31,20,Male,Abu Dhabi,Silver,2025-01-01
32,20,Female,Abu Dhabi,Silver,2025-01-01
33,20,Female,Dubai,Silver,2025-01-01
34,20,Female,Sharjah,Platinum,2025-01-01
35,20,Female,Sharjah,Silver,2025-01-01
36,60,Female,Dubai,Gold,2025-01-01
37,40,Female,Dubai,Silver,2025-01-01
38,30,Male,Dubai,Silver,2025-01-01
39,20,Male,Abu Dhabi,Silver,2025-01-01
40,40,Male,Dubai,Gold,2025-01-01
41,40,Male,Dubai,Silver,2025-01-01
42,30,Male,Sharjah,Silver,2025-01-01
43,60,Male,Dubai,Platinum,2025-01-01
44,50,Female,Sharjah,Silver,2025-01-01
45,50,Female,Sharjah,Silver,2025-01-01
46,40,Female,Abu Dhabi,Silver,2025-01-01
47,30,Female,Dubai,Silver,2025-01-01
48,50,Female,Dubai,Platinum,2025-01-01
49,40,Female,Sharjah,Silver,2025-01-01
