store_id,sku_id,stock_on_hand,reorder_point,snapshot_date
9,1135,198,20,2025-12-31
9,1041,167,20,2025-12-31
9,1157,173,20,2025-12-31
9,1111,130,20,2025-12-31
9,1090,105,20,2025-12-31
9,1068,188,20,2025-12-31
9,1070,122,20,2025-12-31
9,1085,125,20,2025-12-31
9,1122,37,20,2025-12-31
9,1011,171,20,2025-12-31
9,1078,128,20,2025-12-31
9,1012,91,20,2025-12-31
9,1004,144,20,2025-12-31
9,1127,106,20,2025-12-31
9,1197,165,20,2025-12-31
9,1196,69,20,2025-12-31
9,1162,162,20,2025-12-31
9,1023,19,20,2025-12-31
9,1155,38,20,2025-12-31
9,1150,117,20,2025-12-31
9,1130,113,20,2025-12-31
9,1101,93,20,2025-12-31
9,1035,21,20,2025-12-31
9,1073,137,20,2025-12-31
9,1036,135,20,2025-12-31
9,1139,76,20,2025-12-31
9,1005,171,20,2025-12-31
9,1191,37,20,2025-12-31
9,1128,179,20,2025-12-31
9,1105,114,20,2025-12-31
9,1048,125,20,2025-12-31
9,1199,150,20,2025-12-31
9,1060,192,20,2025-12-31
9,1198,124,20,2025-12-31
9,1081,152,20,2025-12-31
9,1188,133,20,2025-12-31
9,1003,123,20,2025-12-31
9,1033,124,20,2025-12-31
9,1087,182,20,2025-12-31
9,1094,70,20,2025-12-31
9,1049,102,20,2025-12-31
9,1074,145,20,2025-12-31
9,1115,40,20,2025-12-31
9,1076,134,20,2025-12-31
9,1117,75,20,2025-12-31
9,1161,80,20,2025-12-31
9,1028,172,20,2025-12-31
9,1021,11,20,2025-12-31
9,1013,197,20,2025-12-31
9,1163,89,20,2025-12-31
9,1119,119,20,2025-12-31
9,1002,64,20,2025-12-31
9,1173,97,20,2025-12-31
9,1138,40,20,2025-12-31
9,1124,186,20,2025-12-31
9,1134,183,20,2025-12-31
9,1022,53,20,2025-12-31
9,1106,105,20,2025-12-31
9,1024,120,20,2025-12-31
9,1051,130,20,2025-12-31
9,1040,119,20,2025-12-31
9,1088,137,20,2025-12-31
9,1190,119,20,2025-12-31
9,1072,35,20,2025-12-31
9,1032,171,20,2025-12-31
9,1047,159,20,2025-12-31
9,1169,149,20,2025-12-31
9,1016,115,20,2025-12-31
9,1015,113,20,2025-12-31
9,1126,196,20,2025-12-31
9,1181,158,20,2025-12-31
9,1096,189,20,2025-12-31
9,1179,168,20,2025-12-31
9,1058,83,20,2025-12-31
9,1151,133,20,2025-12-31
9,1086,121,20,2025-12-31
9,1071,160,20,2025-12-31
9,1175,179,20,2025-12-31
9,1189,180,20,2025-12-31
9,1006,189,20,2025-12-31
9,1125,184,20,2025-12-31
9,1176,172,20,2025-12-31
9,1144,130,20,2025-12-31
9,1066,172,20,2025-12-31
9,1059,117,20,2025-12-31
9,1001,113,20,2025-12-31
9,1183,124,20,2025-12-31
9,1014,126,20,2025-12-31
